id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
3687,Super Earth,2016,3.33 Earths,1.64 x Earth,0.1763 AU,25.3 days,0.0,
3688,Neptune-like,2016,6.76 Earths,0.222 x Jupiter,0.2384 AU,41.7 days,0.0,
3689,Super Earth,2012,8.9 Earths,1.71 x Earth,0.077 AU,7.8 days,0.0,
3690,Neptune-like,2012,8.2 Earths,2.17 x Earth,0.087 AU,9.4 days,0.0,
3691,Neptune-like,2016,6.66 Earths,0.22 x Jupiter,0.134 AU,19.6 days,0.0,
3692,Neptune-like,2016,33.1 Earths,0.567 x Jupiter,0.8589 AU,296.6 days,0.0,
3693,Neptune-like,2021,16.5 Earths,0.376 x Jupiter,0.1722 AU,26.6 days,0.0,
3694,Neptune-like,2016,7.7 Earths,0.24 x Jupiter,0.2194 AU,34.4 days,0.0,
3695,Neptune-like,2016,5.48 Earths,2.2 x Earth,0.1789 AU,28.9 days,0.0,
3696,Super Earth,2016,3.61 Earths,1.72 x Earth,0.0676 AU,5.7 days,0.0,
3697,Super Earth,2016,2.73 Earths,1.46 x Earth,0.1333 AU,20 days,0.0,
3698,Neptune-like,2016,27.9 Earths,0.512 x Jupiter,0.1992 AU,24.9 days,0.0,
3699,Neptune-like,2016,7.61 Earths,0.238 x Jupiter,0.2897 AU,60.9 days,0.0,
3700,Neptune-like,2016,5.1 Earths,2.11 x Earth,0.081 AU,8.5 days,0.0,
3701,Neptune-like,2016,5.06 Earths,2.1 x Earth,0.1594 AU,24.3 days,0.0,
3702,Neptune-like,2012,2.1 Earths,0.633 x Jupiter,0.2514 AU,45.2 days,0.04,
3703,Neptune-like,2012,4 Earths,0.803 x Jupiter,0.384 AU,85.3 days,0.01,
3704,Neptune-like,2014,7.6 Earths,0.865 x Jupiter,0.509 AU,130.2 days,0.01,
3705,Super Earth,2016,3.39 Earths,1.66 x Earth,0.144 AU,19.7 days,0.0,
3706,Super Earth,2016,1.24 Earths,1.07 x Earth,0.0594 AU,5.2 days,0.0,
3707,Neptune-like,2016,10.2 Earths,0.284 x Jupiter,0.1699 AU,22.2 days,0.0,
3708,Gas Giant,2016,38.2 Earths,0.616 x Jupiter,0.2551 AU,38.6 days,0.0,
3709,Super Earth,2016,4.5 Earths,1.96 x Earth,0.0606 AU,5.8 days,0.0,
3710,Super Earth,2016,4.31 Earths,1.91 x Earth,0.0791 AU,8 days,0.0,
3711,Terrestrial,2016,0.84 Earths,0.96 x Earth,0.0303 AU,1.9 days,0.0,
3712,Neptune-like,2016,7.41 Earths,0.235 x Jupiter,0.1396 AU,18.7 days,0.0,
3713,Super Earth,2016,4.62 Earths,1.99 x Earth,0.064 AU,5.5 days,0.0,
3714,Neptune-like,2016,8.45 Earths,0.253 x Jupiter,0.1179 AU,13.3 days,0.0,
3715,Super Earth,2016,4.98 Earths,2.08 x Earth,0.1409 AU,19.8 days,0.0,
3716,Super Earth,2016,4.12 Earths,1.86 x Earth,0.0309 AU,2 days,0.0,
3717,Super Earth,2016,4.66 Earths,2.0 x Earth,0.1075 AU,12.8 days,0.0,
3718,Neptune-like,2021,8.22 Earths,0.249 x Jupiter,0.2134 AU,35.9 days,0.0,
3719,Neptune-like,2012,0.42476 Jupiters,2.1 x Earth,0.0637 AU,7.9 days,0.0,
3720,Gas Giant,2012,0.14284 Jupiters,1.84 x Earth,0.10379 AU,16.4 days,0.0,
3721,Super Earth,2014,4.46 Earths,1.95 x Earth,0.182 AU,36.4 days,0.0,
3722,Neptune-like,2016,9.32 Earths,0.269 x Jupiter,0.2212 AU,39.3 days,0.0,
3723,Neptune-like,2016,8.15 Earths,0.248 x Jupiter,0.1694 AU,29.9 days,0.0,
3724,Neptune-like,2016,7.13 Earths,0.229 x Jupiter,0.1012 AU,12.9 days,0.0,
3725,Neptune-like,2016,11.4 Earths,0.302 x Jupiter,0.165 AU,28.5 days,0.0,
3726,Neptune-like,2016,5.65 Earths,0.2 x Jupiter,0.1272 AU,16 days,0.0,
3727,Super Earth,2021,2.02 Earths,1.227 x Earth,0.0761 AU,7.4 days,0.0,
3728,Neptune-like,2016,6.17 Earths,0.211 x Jupiter,0.0594 AU,4.9 days,0.0,
3729,Neptune-like,2016,9.8 Earths,0.277 x Jupiter,0.0276 AU,1.8 days,0.0,
3730,Super Earth,2016,2.57 Earths,1.41 x Earth,0.0442 AU,3.2 days,0.0,
3731,Super Earth,2016,10.6 Earths,2.215 x Earth,0.4669 AU,81.7 days,0.04,
3732,Gas Giant,2016,0.97 Jupiters,0.747 x Jupiter,0.4988 AU,125.6 days,< 0.39,
3733,Gas Giant,2016,2.4 Jupiters,1.18 x Jupiter,2.42 AU,2.7 years,0.5,Transit Timing Variations
3734,Gas Giant,2012,0.34925 Jupiters,0.258 x Jupiter,0.139 AU,18.6 days,0.0,
3735,Neptune-like,2012,36 Earths,0.283 x Jupiter,0.2255 AU,38.6 days,0.0,
3736,Neptune-like,2014,5.14 Earths,2.12 x Earth,0.091 AU,9.8 days,0.0,
3737,Neptune-like,2016,7.8 Earths,0.242 x Jupiter,0.5886 AU,172.7 days,0.0,
3738,Neptune-like,2016,11.2 Earths,0.3 x Jupiter,0.0641 AU,5.1 days,0.0,
3739,Super Earth,2016,3.09 Earths,1.57 x Earth,0.1038 AU,13.1 days,0.0,
3740,Neptune-like,2016,6.8 Earths,0.223 x Jupiter,0.098 AU,13.9 days,0.0,
3741,Neptune-like,2016,5.14 Earths,2.12 x Earth,0.1553 AU,21.4 days,0.0,
3742,Neptune-like,2016,7.7 Earths,0.24 x Jupiter,0.1087 AU,13.2 days,0.0,
3743,Gas Giant,2016,39.1 Earths,0.624 x Jupiter,0.0502 AU,4.1 days,0.0,
3744,Neptune-like,2016,15.1 Earths,0.357 x Jupiter,0.058 AU,6 days,0.0,
3745,Gas Giant,2016,Unknown,1.07 x Jupiter,0.0495 AU,4.5 days,0.0,
3746,Neptune-like,2016,11 Earths,0.229 x Jupiter,0.2283 AU,42.9 days,0.0,
3747,Neptune-like,2016,8.91 Earths,0.261 x Jupiter,0.4453 AU,117 days,0.0,
3748,Super Earth,2012,21.5 Earths,2.1 x Earth,0.0619 AU,8 days,0.0,
3749,Super Earth,2012,19.8 Earths,1.23 x Earth,0.0809 AU,12.1 days,0.0,
3750,Super Earth,2014,2.96 Earths,1.53 x Earth,0.126 AU,21 days,0.0,
3751,Neptune-like,2016,17.9 Earths,0.394 x Jupiter,0.0747 AU,8.6 days,0.0,
3752,Neptune-like,2016,7.9 Earths,0.244 x Jupiter,0.0893 AU,12.4 days,0.0,
3753,Neptune-like,2016,14.8 Earths,0.352 x Jupiter,0.0612 AU,5.3 days,0.0,
3754,Neptune-like,2016,19.4 Earths,0.413 x Jupiter,0.0484 AU,4 days,0.0,
3755,Gas Giant,2016,Unknown,0.999 x Jupiter,0.9084 AU,328.2 days,0.0,
3756,Neptune-like,2016,17 Earths,0.383 x Jupiter,0.0293 AU,1.9 days,0.0,
3757,Neptune-like,2016,8.4 Earths,0.252 x Jupiter,0.1201 AU,16.2 days,0.0,
3758,Neptune-like,2016,5.65 Earths,0.2 x Jupiter,0.0973 AU,11.7 days,0.0,
3759,Neptune-like,2016,7.61 Earths,0.238 x Jupiter,0.0469 AU,3.7 days,0.0,
3760,Neptune-like,2016,6.21 Earths,0.211 x Jupiter,0.1759 AU,29 days,0.0,
3761,Neptune-like,2016,12.7 Earths,0.322 x Jupiter,0.1277 AU,17.6 days,0.0,
3762,Super Earth,2012,0.135 Jupiters,0.217 x Jupiter,0.1593 AU,27.9 days,0.0,
3763,Super Earth,2012,0.22 Jupiters,2.21 x Earth,0.2095 AU,42.2 days,0.0,
3764,Super Earth,2014,3.15 Earths,1.59 x Earth,0.029 AU,2.2 days,0.0,
3765,Super Earth,2014,3.02 Earths,1.55 x Earth,0.048 AU,4.6 days,0.0,
3766,Super Earth,2014,3.15 Earths,1.59 x Earth,0.081 AU,10.2 days,0.0,
3767,Super Earth,2016,3.61 Earths,1.72 x Earth,0.0899 AU,18.5 days,0.17,
3768,Gas Giant,2016,38.7 Earths,0.621 x Jupiter,0.2918 AU,58.4 days,0.0,
3769,Neptune-like,2016,7.65 Earths,0.239 x Jupiter,0.0593 AU,5.4 days,0.0,
3770,Neptune-like,2016,23.7 Earths,0.465 x Jupiter,0.1333 AU,18 days,0.0,
3771,Neptune-like,2016,9.75 Earths,0.276 x Jupiter,0.1418 AU,22.2 days,0.0,
3772,Neptune-like,2016,19.4 Earths,0.413 x Jupiter,0.0484 AU,3.8 days,0.0,
3773,Neptune-like,2016,12.9 Earths,0.325 x Jupiter,0.0501 AU,4.2 days,0.0,
3774,Neptune-like,2016,5.27 Earths,2.15 x Earth,0.1247 AU,18.4 days,0.0,
3775,Neptune-like,2016,5.69 Earths,0.201 x Jupiter,0.1229 AU,16.5 days,0.0,
3776,Neptune-like,2016,5.73 Earths,0.202 x Jupiter,0.0794 AU,11 days,0.0,
3777,Neptune-like,2016,10.1 Earths,0.282 x Jupiter,0.1981 AU,34.2 days,0.0,
3778,Neptune-like,2012,22.1 Earths,0.581 x Jupiter,0.1028 AU,10.5 days,0.04,
3779,Gas Giant,2012,0.57 Jupiters,0.874 x Jupiter,0.1652 AU,21.4 days,0.0,
3780,Gas Giant,2016,5.61 Jupiters,1.14 x Jupiter,2.16 AU,2.7 years,0.2,
3781,Neptune-like,2016,6.57 Earths,0.219 x Jupiter,0.0497 AU,4.3 days,0.0,
3782,Neptune-like,2016,7.46 Earths,0.236 x Jupiter,0.0546 AU,4.8 days,0.0,
3783,Neptune-like,2016,7.18 Earths,0.23 x Jupiter,0.1192 AU,17.2 days,0.0,
3784,Neptune-like,2016,8.2 Earths,0.249 x Jupiter,0.1486 AU,22.2 days,0.0,
3785,Neptune-like,2016,6.3 Earths,0.213 x Jupiter,0.0723 AU,7.7 days,0.0,
3786,Neptune-like,2016,6.3 Earths,0.213 x Jupiter,0.0788 AU,9.4 days,0.0,
3787,Neptune-like,2016,10.7 Earths,0.292 x Jupiter,0.179 AU,29.9 days,0.0,
3788,Neptune-like,2016,7.04 Earths,0.227 x Jupiter,0.1348 AU,25.7 days,0.0,
3789,Super Earth,2016,4.66 Earths,2.0 x Earth,0.0266 AU,1.6 days,0.0,
3790,Super Earth,2016,4.66 Earths,2.0 x Earth,0.0854 AU,9.7 days,0.0,
3791,Gas Giant,2012,0.36183 Jupiters,2.19 x Earth,0.06 AU,5.7 days,0.0,
3792,Super Earth,2012,9.1 Earths,1.55 x Earth,0.096 AU,11.6 days,0.0,
3793,Neptune-like,2016,7.13 Earths,0.229 x Jupiter,0.0683 AU,8.2 days,0.0,
3794,Neptune-like,2016,7.41 Earths,0.235 x Jupiter,0.2259 AU,40.6 days,0.0,
3795,Neptune-like,2016,13.1 Earths,0.328 x Jupiter,0.1254 AU,18.5 days,0.0,
3796,Neptune-like,2016,5.82 Earths,0.203 x Jupiter,0.0689 AU,6.5 days,0.0,
3797,Neptune-like,2016,16.5 Earths,0.376 x Jupiter,0.2281 AU,35.2 days,0.0,
3798,Neptune-like,2016,8.4 Earths,0.252 x Jupiter,0.0375 AU,2.8 days,0.0,
3799,Neptune-like,2016,8.2 Earths,0.249 x Jupiter,0.0331 AU,2.1 days,0.0,
3800,Neptune-like,2016,5.6 Earths,2.23 x Earth,0.0952 AU,10.9 days,0.0,
3801,Neptune-like,2016,7.41 Earths,0.235 x Jupiter,0.052 AU,4.2 days,0.0,
3802,Neptune-like,2016,5.77 Earths,0.203 x Jupiter,0.1196 AU,16.5 days,0.0,
3803,Super Earth,2021,1.45 Earths,1.117 x Earth,0.0426 AU,3.5 days,0.0,
3804,Neptune-like,2012,35.5 Earths,0.248 x Jupiter,0.0927 AU,10.2 days,0.0,
3805,Gas Giant,2012,0.16676 Jupiters,0.255 x Jupiter,0.1228 AU,15.6 days,0.0,
3806,Neptune-like,2014,8.96 Earths,0.262 x Jupiter,0.236 AU,40.1 days,0.0,
3807,Neptune-like,2016,15.2 Earths,0.359 x Jupiter,0.0647 AU,5.9 days,0.0,
3808,Neptune-like,2016,11.4 Earths,0.302 x Jupiter,0.3554 AU,81.2 days,0.0,
3809,Neptune-like,2016,6.3 Earths,0.213 x Jupiter,0.0397 AU,2.8 days,0.0,
3810,Neptune-like,2016,8.6 Earths,0.256 x Jupiter,0.1508 AU,21.2 days,0.0,
3811,Neptune-like,2016,5.39 Earths,2.18 x Earth,0.1089 AU,13.6 days,0.0,
3812,Neptune-like,2016,17.4 Earths,0.331 x Jupiter,0.1582 AU,25.3 days,0.0,
3813,Super Earth,2020,3.3 Earths,1.009 x Earth,0.0983 AU,12.4 days,0.0,
3814,Neptune-like,2016,11.8 Earths,0.309 x Jupiter,0.156 AU,21.3 days,0.0,
3815,Neptune-like,2016,6.21 Earths,0.211 x Jupiter,0.1056 AU,13 days,0.0,
3816,Super Earth,2016,2.86 Earths,1.5 x Earth,0.0438 AU,3.7 days,0.0,
3817,Neptune-like,2020,9.4 Earths,0.27 x Jupiter,0.3576 AU,86.5 days,0.0,
3818,Neptune-like,2016,8.45 Earths,0.253 x Jupiter,0.1128 AU,15.7 days,0.0,
3819,Super Earth,2012,1.37 Earths,1.1 x Earth,0.104 AU,11.9 days,0.0,
3820,Super Earth,2012,4.58 Earths,1.98 x Earth,0.1372 AU,18 days,0.0,
3821,Gas Giant,2009,2.111 Jupiters,1.426 x Jupiter,0.0538 AU,3.5 days,0.0,
3822,Neptune-like,2016,8.75 Earths,0.259 x Jupiter,0.1536 AU,23.7 days,0.0,
3823,Super Earth,2016,4.27 Earths,1.9 x Earth,0.056 AU,5.4 days,0.0,
3824,Super Earth,2016,5.02 Earths,2.09 x Earth,0.1224 AU,15.3 days,0.0,
3825,Neptune-like,2016,7.51 Earths,0.236 x Jupiter,0.1502 AU,21.1 days,0.0,
3826,Neptune-like,2016,34.5 Earths,0.58 x Jupiter,0.5001 AU,127.9 days,0.0,
3827,Super Earth,2016,2.3 Earths,1.32 x Earth,0.0666 AU,6.2 days,0.0,
3828,Neptune-like,2016,7.22 Earths,0.231 x Jupiter,0.1735 AU,25.9 days,0.0,
3829,Super Earth,2016,2.67 Earths,1.44 x Earth,0.042 AU,3.4 days,0.0,
3830,Terrestrial,2016,0.566 Earths,0.86 x Earth,0.033 AU,2.4 days,0.0,
3831,Neptune-like,2016,11 Earths,0.295 x Jupiter,0.17 AU,24.3 days,0.0,
3832,Terrestrial,2016,0.59 Earths,0.87 x Earth,0.0135 AU,0.6 days,0.0,
3833,Neptune-like,2021,8.05 Earths,0.246 x Jupiter,0.2122 AU,39.7 days,0.0,
3834,Neptune-like,2016,12.9 Earths,0.325 x Jupiter,0.0685 AU,6.4 days,0.0,
3835,Neptune-like,2016,11.2 Earths,0.299 x Jupiter,0.0682 AU,6.5 days,0.0,
3836,Super Earth,2012,4.19 Earths,1.71 x Earth,0.0719 AU,7.1 days,0.0,
3837,Super Earth,2012,3.85 Earths,1.9 x Earth,0.0835 AU,8.9 days,0.0,
3838,Neptune-like,2012,4.16 Earths,1.99 x Earth,0.1012 AU,11.9 days,0.0,
3839,Neptune-like,2016,16.3 Earths,0.374 x Jupiter,0.0719 AU,7 days,0.0,
3840,Neptune-like,2016,10.9 Earths,0.294 x Jupiter,0.5594 AU,151.9 days,0.0,
3841,Super Earth,2016,3.36 Earths,1.65 x Earth,0.0351 AU,2.4 days,0.0,
3842,Neptune-like,2016,8.45 Earths,0.253 x Jupiter,0.0452 AU,3.7 days,0.0,
3843,Neptune-like,2016,5.86 Earths,0.204 x Jupiter,0.1232 AU,15.8 days,0.0,
3844,Neptune-like,2016,6.3 Earths,0.213 x Jupiter,0.1027 AU,14 days,0.0,
3845,Super Earth,2016,3.68 Earths,1.74 x Earth,0.085 AU,10.4 days,0.0,
3846,Neptune-like,2016,6.48 Earths,0.217 x Jupiter,0.0927 AU,10 days,0.0,
3847,Neptune-like,2016,11.5 Earths,0.304 x Jupiter,0.4024 AU,90.4 days,0.0,
3848,Neptune-like,2021,7.52 Earths,0.237 x Jupiter,0.2749 AU,51.1 days,0.0,
3849,Super Earth,2016,2.3 Earths,1.32 x Earth,0.0219 AU,1.7 days,0.0,
3850,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,0.046 AU,3.6 days,0.0,
3851,Neptune-like,2016,10.1 Earths,0.282 x Jupiter,0.0611 AU,5.4 days,0.0,
3852,Super Earth,2016,3.5 Earths,1.69 x Earth,0.0225 AU,1.2 days,0.0,
3853,Neptune-like,2013,5.27 Earths,2.15 x Earth,0.24861 AU,59.9 days,< 0.25,
3854,Neptune-like,2016,11 Earths,0.296 x Jupiter,0.1053 AU,12.9 days,0.0,
3855,Neptune-like,2016,5.9 Earths,0.205 x Jupiter,0.031 AU,2.6 days,0.0,
3856,Neptune-like,2016,5.18 Earths,2.13 x Earth,0.0978 AU,14.3 days,0.0,
3857,Neptune-like,2016,9.32 Earths,0.269 x Jupiter,0.0854 AU,9.1 days,0.0,
3858,Neptune-like,2016,5.95 Earths,0.206 x Jupiter,0.1172 AU,14.6 days,0.0,
3859,Super Earth,2016,4.62 Earths,1.99 x Earth,0.0768 AU,7.8 days,0.0,
3860,Super Earth,2016,1.16 Earths,1.05 x Earth,0.0508 AU,4.2 days,0.0,
3861,Neptune-like,2016,5.86 Earths,0.204 x Jupiter,0.115 AU,14.5 days,0.0,
3862,Neptune-like,2016,13.4 Earths,0.333 x Jupiter,0.2327 AU,40.7 days,0.0,
3863,Gas Giant,2016,0.168 Jupiters,0.749 x Jupiter,0.1241 AU,15.5 days,0.0,
3864,Super Earth,2016,2.48 Earths,1.38 x Earth,0.0712 AU,7.2 days,0.0,
3865,Super Earth,2013,9 Earths,1.31 x Earth,0.0553 AU,5.7 days,0.0,
3866,Terrestrial,2013,4 Earths,0.54 x Earth,0.0929 AU,12.4 days,0.0,
3867,Neptune-like,2013,14 Earths,1.95 x Earth,0.12 AU,18.2 days,0.0,
3868,Super Earth,2013,36 Earths,1.61 x Earth,0.427 AU,122.4 days,0.0,
3869,Super Earth,2013,35 Earths,1.41 x Earth,0.718 AU,267.3 days,0.0,
3870,Neptune-like,2016,10.2 Earths,0.284 x Jupiter,0.5729 AU,161.5 days,0.0,
3871,Neptune-like,2016,8.75 Earths,0.259 x Jupiter,0.1447 AU,18 days,0.0,
3872,Neptune-like,2016,5.52 Earths,2.21 x Earth,0.1885 AU,31 days,0.0,
3873,Super Earth,2016,3.29 Earths,1.63 x Earth,0.0815 AU,8.5 days,0.0,
3874,Neptune-like,2021,5.89 Earths,0.205 x Jupiter,0.1618 AU,23.8 days,0.0,
3875,Super Earth,2016,4.23 Earths,1.89 x Earth,0.0578 AU,5.2 days,0.0,
3876,Neptune-like,2016,7.46 Earths,0.236 x Jupiter,0.1764 AU,23.4 days,0.0,
3877,Neptune-like,2016,18.1 Earths,0.397 x Jupiter,0.1185 AU,16.1 days,0.0,
3878,Neptune-like,2016,20.2 Earths,0.424 x Jupiter,0.1867 AU,23.2 days,0.0,
3879,Super Earth,2016,4.01 Earths,1.83 x Earth,0.0632 AU,6.1 days,0.0,
3880,Neptune-like,2016,6.26 Earths,0.212 x Jupiter,0.0966 AU,10.2 days,0.0,
3881,Gas Giant,2013,0.378 Jupiters,0.545 x Jupiter,0.08 AU,9.4 days,< 0.45,
3882,Neptune-like,2016,7.08 Earths,0.228 x Jupiter,0.1566 AU,22.2 days,0.0,
3883,Super Earth,2016,4.08 Earths,1.85 x Earth,0.0879 AU,9.5 days,0.0,
3884,Neptune-like,2016,8.75 Earths,0.259 x Jupiter,0.0589 AU,4.4 days,0.0,
3885,Gas Giant,2016,1.01 Jupiters,0.906 x Jupiter,0.126 AU,16.3 days,0.37,
3886,Neptune-like,2016,10.1 Earths,0.281 x Jupiter,0.0466 AU,3.2 days,0.0,
3887,Neptune-like,2016,5.06 Earths,2.1 x Earth,0.049 AU,3.3 days,0.0,
3888,Super Earth,2016,4.62 Earths,1.99 x Earth,0.1149 AU,15.9 days,0.0,
3889,Super Earth,2016,1.71 Earths,1.17 x Earth,0.1222 AU,16.2 days,0.0,
3890,Neptune-like,2020,15.1 Earths,0.357 x Jupiter,0.1827 AU,29.7 days,0.0,
3891,Neptune-like,2016,10.5 Earths,0.287 x Jupiter,0.1341 AU,17.4 days,0.0,
3892,Neptune-like,2016,5.73 Earths,0.202 x Jupiter,0.1805 AU,29.9 days,0.0,
3893,Neptune-like,2016,9.06 Earths,0.264 x Jupiter,0.0421 AU,3 days,0.0,
3894,Neptune-like,2016,6.21 Earths,0.211 x Jupiter,0.1409 AU,21.4 days,0.0,
3895,Neptune-like,2016,6.76 Earths,0.222 x Jupiter,0.0503 AU,4.2 days,0.0,
3896,Super Earth,2016,4.46 Earths,1.95 x Earth,0.1197 AU,14.7 days,0.0,
3897,Terrestrial,2016,0.399 Earths,0.78 x Earth,0.0186 AU,0.9 days,0.0,
3898,Super Earth,2016,4.94 Earths,2.07 x Earth,0.1116 AU,13.7 days,0.0,
3899,Neptune-like,2016,7.8 Earths,0.242 x Jupiter,0.2559 AU,46.4 days,0.0,
3900,Neptune-like,2016,9.91 Earths,0.278 x Jupiter,0.0232 AU,1.3 days,0.0,
3901,Neptune-like,2016,12.2 Earths,0.314 x Jupiter,0.1654 AU,24.5 days,0.0,
3902,Super Earth,2016,3.29 Earths,1.63 x Earth,0.0188 AU,1.3 days,0.0,
3903,Neptune-like,2016,6.8 Earths,0.223 x Jupiter,0.1204 AU,17.7 days,0.0,
3904,Super Earth,2012,2.4 Earths,1.42 x Earth,0.035 AU,2.2 days,0.03,
3905,Neptune-like,2012,5.4 Earths,0.23 x Jupiter,0.068 AU,5.9 days,0.02,
3906,Super Earth,2012,4.14 Earths,1.52 x Earth,0.084 AU,8.1 days,0.01,
3907,Gas Giant,2019,0.82 Jupiters,1.24 x Jupiter,Unknown,258.8 days,0.28,
3908,Neptune-like,2016,7.13 Earths,0.229 x Jupiter,0.0759 AU,9.3 days,0.0,
3909,Neptune-like,2016,9.64 Earths,0.274 x Jupiter,0.0585 AU,6 days,0.0,
3910,Neptune-like,2016,5.39 Earths,2.18 x Earth,0.1408 AU,21.7 days,0.0,
3911,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,0.0559 AU,5 days,0.0,
3912,Neptune-like,2016,7.56 Earths,0.237 x Jupiter,0.0374 AU,2.5 days,0.0,
3913,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,0.1148 AU,16 days,0.0,
3914,Neptune-like,2016,6.35 Earths,0.214 x Jupiter,0.0542 AU,4.5 days,0.0,
3915,Neptune-like,2016,20.1 Earths,0.422 x Jupiter,0.2288 AU,41.4 days,0.0,
3916,Neptune-like,2016,7.75 Earths,0.241 x Jupiter,0.0768 AU,8.4 days,0.0,
3917,Neptune-like,2016,20.8 Earths,0.431 x Jupiter,0.0529 AU,4.1 days,0.0,
3918,Neptune-like,2013,8.25 Earths,0.25 x Jupiter,0.1352 AU,17.8 days,0.0,
3919,Gas Giant,2016,Unknown,1.176 x Jupiter,0.0383 AU,2.8 days,0.0,
3920,Neptune-like,2016,7.7 Earths,0.24 x Jupiter,0.0503 AU,4.3 days,0.0,
3921,Neptune-like,2016,6.8 Earths,0.223 x Jupiter,0.2163 AU,38.4 days,0.0,
3922,Neptune-like,2016,34.8 Earths,0.583 x Jupiter,0.0455 AU,3.7 days,0.0,
3923,Super Earth,2016,3.5 Earths,1.69 x Earth,0.028 AU,2.2 days,0.0,
3924,Neptune-like,2016,6.53 Earths,0.218 x Jupiter,0.0325 AU,2.3 days,0.0,
3925,Neptune-like,2016,9.48 Earths,0.271 x Jupiter,0.0798 AU,11.6 days,0.0,
3926,Neptune-like,2016,25 Earths,0.48 x Jupiter,0.067 AU,6.6 days,0.0,
3927,Neptune-like,2016,23.1 Earths,0.459 x Jupiter,0.0732 AU,7.3 days,0.0,
3928,Neptune-like,2016,9.32 Earths,0.269 x Jupiter,0.0983 AU,12.4 days,0.0,
3929,Neptune-like,2013,8.96 Earths,0.262 x Jupiter,0.1171 AU,15.7 days,0.0,
3930,Neptune-like,2016,6.44 Earths,0.216 x Jupiter,0.0469 AU,3.7 days,0.0,
3931,Neptune-like,2016,9.69 Earths,0.275 x Jupiter,0.1635 AU,26.4 days,0.0,
3932,Gas Giant,2016,0.134 Jupiters,0.658 x Jupiter,0.1058 AU,12.6 days,0.0,
3933,Super Earth,2016,4.54 Earths,1.97 x Earth,0.0355 AU,2.5 days,0.0,
3934,Neptune-like,2016,11.2 Earths,0.3 x Jupiter,0.064 AU,6.8 days,0.0,
3935,Gas Giant,2016,0.248 Jupiters,0.944 x Jupiter,0.0265 AU,1.6 days,0.0,
3936,Gas Giant,2016,Unknown,1.084 x Jupiter,0.0258 AU,1.6 days,0.0,
3937,Neptune-like,2016,12.2 Earths,0.314 x Jupiter,0.1326 AU,20.5 days,0.0,
3938,Gas Giant,2016,0.216 Jupiters,0.871 x Jupiter,0.046 AU,3.9 days,0.0,
3939,Neptune-like,2016,8.7 Earths,0.258 x Jupiter,0.1449 AU,22.4 days,0.0,
3940,Neptune-like,2013,7.65 Earths,0.21 x Jupiter,0.0617 AU,5.4 days,0.0,
3941,Super Earth,2013,2.04 Earths,0.92 x Earth,0.09059 AU,9.6 days,0.0,
3942,Gas Giant,2013,0.84007 Jupiters,1.24 x Jupiter,1.4 AU,1.7 years,0.11,
3943,Neptune-like,2016,29.6 Earths,0.531 x Jupiter,0.081 AU,7.7 days,0.0,
3944,Super Earth,2016,5.02 Earths,2.09 x Earth,0.0649 AU,8.1 days,0.0,
3945,Neptune-like,2016,9.85 Earths,0.277 x Jupiter,0.1495 AU,21.8 days,0.0,
3946,Gas Giant,2016,0.232 Jupiters,0.908 x Jupiter,0.1121 AU,15.4 days,0.0,
3947,Neptune-like,2016,8.25 Earths,0.25 x Jupiter,0.0659 AU,6.4 days,0.0,
3948,Gas Giant,2016,0.196 Jupiters,0.822 x Jupiter,0.0374 AU,3 days,0.0,
3949,Neptune-like,2016,31.3 Earths,0.548 x Jupiter,0.0535 AU,4.2 days,0.0,
3950,Neptune-like,2016,16 Earths,0.368 x Jupiter,0.0471 AU,3.7 days,0.0,
3951,Neptune-like,2016,13.1 Earths,0.328 x Jupiter,0.1255 AU,16.3 days,0.0,
3952,Gas Giant,2016,Unknown,1.259 x Jupiter,0.1711 AU,27.8 days,0.0,
3953,Neptune-like,2013,5.65 Earths,0.2 x Jupiter,0.094 AU,13.7 days,0.16,
3954,Super Earth,2013,3.57 Earths,1.71 x Earth,0.64 AU,242.5 days,0.14,
3955,Gas Giant,2009,0.668 Jupiters,1.304 x Jupiter,0.04852 AU,3.2 days,0.0,
3956,Neptune-like,2016,30 Earths,0.534 x Jupiter,0.3577 AU,80.9 days,0.0,
3957,Neptune-like,2016,8.45 Earths,0.253 x Jupiter,0.0895 AU,10.4 days,0.0,
3958,Gas Giant,2016,0.194 Jupiters,0.818 x Jupiter,0.088 AU,10.5 days,0.0,
3959,Gas Giant,2016,0.161 Jupiters,0.732 x Jupiter,0.0535 AU,4.6 days,0.0,
3960,Neptune-like,2016,7.32 Earths,0.233 x Jupiter,0.047 AU,3.8 days,0.0,
3961,Neptune-like,2016,5.1 Earths,2.11 x Earth,0.232 AU,56.1 days,0.0,
3962,Gas Giant,2016,Unknown,1.175 x Jupiter,0.2162 AU,41.4 days,0.0,
3963,Super Earth,2016,2.33 Earths,1.33 x Earth,0.0325 AU,2.2 days,0.0,
3964,Neptune-like,2016,8.91 Earths,0.261 x Jupiter,0.0426 AU,3.2 days,0.0,
3965,Neptune-like,2016,8.85 Earths,0.261 x Jupiter,0.1173 AU,16.1 days,0.0,
3966,Super Earth,2016,4.19 Earths,1.88 x Earth,0.0524 AU,4.3 days,0.0,
